64,4032,438,28032
69,4692,846,54144
74,5402,1246,79744
80,6320,1661,106304
87,7482,2352,150528
94,8742,3047,195008
101,10100,3767,241088
109,11772,4667,298688
118,13806,5760,368640
128,16256,6962,445568
138,18906,8480,542720
149,22052,10163,650432
161,25760,12174,779136
174,30102,14467,925888
188,35156,17123,1095872
203,41006,20285,1298240
219,47742,23878,1528192
237,55932,28251,1808064
256,65280,33066,2116224
276,75900,38862,2487168
298,88506,45600,2918400
322,103362,53488,3423232
348,120756,62733,4014912
376,141000,73486,4703104
406,164430,86040,5506560
438,191406,100400,6425600
474,224202,117848,7542272
512,261632,137498,8799872
552,304152,160287,10258368
597,355812,187907,12026048
645,415380,219599,14054336
696,483720,255786,16370304
752,564752,298643,19113152
812,658532,348818,22324352
877,768252,407291,26066624
948,897756,476040,30466560
1024,1047552,555258,35536512
1105,1219920,647486,41439104
1194,1424442,756128,48392192
1290,1662810,882848,56502272
1393,1939056,1029806,65907584
1505,2263520,1202286,76946304
1625,2639000,1401848,89718272
1755,3078270,1635238,104655232
1896,3592920,1908411,122138304
2048,4192256,2226362,142487168
2211,4886310,2596196,166156544
2389,5704932,3031363,194007232
2580,6653820,3535326,226260864
Elements: 7761796
2786,7759010,4122784,263858176
Elements: 9060100
3010,9057090,4812592,308005888
Elements: 10562500
3250,10559250,5610832,359093248
Elements: 12327121
3511,12323610,6547970,419070080
Elements: 14379264
3792,14375472,7637013,488768832
Elements: 16777216
4096,16773120,8910906,570297984
Elements: 19562929
4423,19558506,10392221,665102144
Elements: 22829284
4778,22824506,12128160,776202240
Elements: 26625600
5160,26620440,14144127,905224128
Elements: 31058329
5573,31052756,16500479,1056030656
Elements: 36240400
6020,36234380,19252901,1232185664
Elements: 42263001
6501,42256500,22453367,1437015488
Elements: 49308484
7022,49301462,26196083,1676549312
Elements: 57517056
7584,57509472,30553728,1955438592
Elements: 67108864
8192,67100672,35649338,2281557632
Elements: 78269409
8847,78260562,41578930,2661051520
Elements: 91317136
9556,91307580,48513522,3104865408
Elements: 106523041
10321,106512720,56593214,3621965696
Elements: 124255609
11147,124244462,66013289,4224850496
Elements: 144961600
12040,144949560,77011417,4928730688
Elements: 169078009
13003,169065006,89825885,5748856640
Elements: 197262025
14045,197247980,104799903,6707193792
Elements: 230098561
15169,230083392,122244830,7823669120
Elements: 268435456
